order_id,order_date,order_time,crop_type,state,season,quantity_quintals,price_per_quintal_inr,total_value_inr,quality_grade,buyer_type,buyer_id,status,payment_status,created_timestamp
ORD-00000050,02-01-2024,56:17.3,sunflower,Karnataka,rabi,564.09,3537.13,1995260.03,A,processor,BUYER-00664,pending,pending,2024-01-02T10:56:17.336399
ORD-00000051,02-01-2024,56:17.3,soybean,Maharashtra,rabi,295.97,4261.32,1261219.98,C,exporter,BUYER-00608,pending,partial,2024-01-02T10:56:17.336399
ORD-00000052,03-01-2024,56:17.3,groundnut,Maharashtra,rabi,361.49,4521.23,1634393.65,C,processor,BUYER-00442,completed,paid,2024-01-03T10:56:17.336399
ORD-00000053,03-01-2024,56:17.3,sesame,Madhya Pradesh,rabi,417.4,6015.98,2511065.21,C,retailer,BUYER-00386,delivered,paid,2024-01-03T10:56:17.336399
ORD-00000054,04-01-2024,56:17.3,sesame,Karnataka,rabi,133.48,6080.44,811644.8,C,processor,BUYER-00081,pending,paid,2024-01-04T10:56:17.336399
ORD-00000055,04-01-2024,56:17.3,mustard,Bihar,rabi,174.13,5486.33,955348.63,C,trader,BUYER-00220,delivered,paid,2024-01-04T10:56:17.336399
ORD-00000056,04-01-2024,56:17.3,sunflower,Karnataka,rabi,95.12,3547.66,337435.64,B,exporter,BUYER-00225,completed,partial,2024-01-04T10:56:17.336399
ORD-00000057,04-01-2024,56:17.3,sunflower,Uttar Pradesh,rabi,501.51,4006,2009050.64,B,processor,BUYER-00053,completed,pending,2024-01-04T10:56:17.336399
ORD-00000058,05-01-2024,56:17.3,sesame,Punjab,rabi,586.33,5997.01,3516217.97,A,processor,BUYER-00836,pending,paid,2024-01-05T10:56:17.336399
ORD-00000059,05-01-2024,56:17.3,sesame,Andhra Pradesh,rabi,88.63,6245.83,553567.46,A,trader,BUYER-00401,completed,paid,2024-01-05T10:56:17.336399
ORD-00000060,05-01-2024,56:17.3,sunflower,Andhra Pradesh,rabi,559.75,3649.27,2042671.25,A,exporter,BUYER-00884,pending,partial,2024-01-05T10:56:17.336399
ORD-00000061,06-01-2024,56:17.3,sunflower,Punjab,rabi,383.34,3840.78,1472330.01,C,processor,BUYER-00752,pending,partial,2024-01-06T10:56:17.336399
ORD-00000062,06-01-2024,56:17.3,sunflower,Bihar,rabi,510.75,3401.82,1737480.66,A,retailer,BUYER-00187,delivered,paid,2024-01-06T10:56:17.336399
ORD-00000063,06-01-2024,56:17.3,soybean,Odisha,rabi,54.64,3880.05,212024.36,C,retailer,BUYER-00660,delivered,pending,2024-01-06T10:56:17.336399
ORD-00000064,07-01-2024,56:17.3,sesame,Karnataka,rabi,107.36,6911.74,742031.44,C,trader,BUYER-00511,completed,partial,2024-01-07T10:56:17.336399
ORD-00000065,07-01-2024,56:17.3,sunflower,Haryana,rabi,207.38,3965.5,822345.06,B,trader,BUYER-00820,completed,paid,2024-01-07T10:56:17.336399
ORD-00000066,07-01-2024,56:17.3,mustard,Andhra Pradesh,rabi,863.18,4652.5,4015955.11,A,processor,BUYER-00551,delivered,paid,2024-01-07T10:56:17.336399
ORD-00000067,07-01-2024,56:17.3,sunflower,Rajasthan,rabi,539.43,3386.77,1826922.68,C,exporter,BUYER-00988,pending,partial,2024-01-07T10:56:17.336399
ORD-00000068,08-01-2024,56:17.3,mustard,Haryana,rabi,203.74,5411.56,1102568.19,A,processor,BUYER-00990,completed,partial,2024-01-08T10:56:17.336399
ORD-00000069,08-01-2024,56:17.3,groundnut,Haryana,rabi,686.26,4776.54,3277969.11,A,trader,BUYER-00144,pending,partial,2024-01-08T10:56:17.336399
ORD-00000070,09-01-2024,56:17.3,groundnut,Gujarat,rabi,1106.95,5225.95,5784843.77,A,processor,BUYER-00881,delivered,pending,2024-01-09T10:56:17.336399
ORD-00000071,09-01-2024,56:17.3,soybean,Telangana,rabi,102.92,3950.69,406621.19,A,retailer,BUYER-00652,pending,paid,2024-01-09T10:56:17.336399
ORD-00000072,09-01-2024,56:17.3,sunflower,Haryana,rabi,411.18,4236.21,1741850.38,B,retailer,BUYER-00009,completed,paid,2024-01-09T10:56:17.336399
ORD-00000073,10-01-2024,56:17.3,groundnut,Gujarat,rabi,466.07,5552.49,2587875.48,A,retailer,BUYER-00131,pending,pending,2024-01-10T10:56:17.336399
ORD-00000074,10-01-2024,56:17.3,mustard,Bihar,rabi,445.79,4662.49,2078511.92,C,retailer,BUYER-00673,delivered,paid,2024-01-10T10:56:17.336399
ORD-00000075,11-01-2024,56:17.3,soybean,Gujarat,rabi,423.93,4885.21,2070997.64,A,exporter,BUYER-00104,completed,paid,2024-01-11T10:56:17.336399
ORD-00000076,11-01-2024,56:17.3,mustard,Telangana,rabi,464.97,4093.24,1903219.3,B,retailer,BUYER-00510,completed,paid,2024-01-11T10:56:17.336399
ORD-00000077,11-01-2024,56:17.3,groundnut,Gujarat,rabi,886.99,5938.92,5267744.43,B,trader,BUYER-00914,completed,pending,2024-01-11T10:56:17.336399
ORD-00000078,11-01-2024,56:17.3,sunflower,Bihar,rabi,101.81,3855.56,392520.85,C,exporter,BUYER-00822,pending,partial,2024-01-11T10:56:17.336399
ORD-00000079,12-01-2024,56:17.3,sunflower,Maharashtra,rabi,696.38,3485.67,2427348.26,A,trader,BUYER-00161,completed,partial,2024-01-12T10:56:17.336399
ORD-00000080,12-01-2024,56:17.3,sunflower,Maharashtra,rabi,117.9,3793.04,447182.5,A,exporter,BUYER-00816,delivered,partial,2024-01-12T10:56:17.336399
ORD-00000081,12-01-2024,56:17.3,sunflower,Gujarat,rabi,501.7,3970.58,1992030.7,C,processor,BUYER-00135,delivered,partial,2024-01-12T10:56:17.336399
ORD-00000082,12-01-2024,56:17.3,groundnut,Andhra Pradesh,rabi,640.26,4900.57,3137658.08,A,exporter,BUYER-00688,completed,partial,2024-01-12T10:56:17.336399
ORD-00000083,13-01-2024,56:17.3,sesame,Bihar,rabi,124.11,6042.14,749902.27,C,retailer,BUYER-00750,delivered,pending,2024-01-13T10:56:17.336399
ORD-00000084,13-01-2024,56:17.3,soybean,Bihar,rabi,151.41,5146.51,779243.2,B,trader,BUYER-00563,pending,paid,2024-01-13T10:56:17.336399
ORD-00000085,13-01-2024,56:17.3,sunflower,Haryana,rabi,616.19,3949.5,2433639.6,B,exporter,BUYER-00226,delivered,pending,2024-01-13T10:56:17.336399
ORD-00000086,13-01-2024,56:17.3,sunflower,Haryana,rabi,339.94,3965.42,1348015.22,A,retailer,BUYER-00879,delivered,partial,2024-01-13T10:56:17.336399
ORD-00000087,14-01-2024,56:17.3,mustard,Bihar,rabi,141.17,5120.33,722826.73,C,retailer,BUYER-00659,pending,partial,2024-01-14T10:56:17.336399
ORD-00000088,14-01-2024,56:17.3,sunflower,Gujarat,rabi,399.62,4106.15,1640910.38,C,processor,BUYER-00512,delivered,pending,2024-01-14T10:56:17.336399
ORD-00000089,15-01-2024,56:17.3,groundnut,Gujarat,rabi,746.32,5153.11,3845879.84,C,trader,BUYER-00046,delivered,pending,2024-01-15T10:56:17.336399
ORD-00000090,15-01-2024,56:17.3,mustard,Bihar,rabi,709.15,4613.03,3271348.86,A,exporter,BUYER-00745,pending,paid,2024-01-15T10:56:17.336399
ORD-00000091,16-01-2024,56:17.3,soybean,Andhra Pradesh,rabi,213.29,4403.05,939130.5,C,trader,BUYER-00181,completed,paid,2024-01-16T10:56:17.336399
ORD-00000092,16-01-2024,56:17.3,sunflower,Karnataka,rabi,479.75,4347.58,2085747.56,A,retailer,BUYER-00116,completed,paid,2024-01-16T10:56:17.336399
ORD-00000093,17-01-2024,56:17.3,groundnut,Uttar Pradesh,rabi,258.84,4717.82,1221150.69,C,processor,BUYER-00161,delivered,pending,2024-01-17T10:56:17.336399
ORD-00000094,17-01-2024,56:17.3,sesame,Karnataka,rabi,138.68,5855.51,812058.23,C,exporter,BUYER-00793,delivered,pending,2024-01-17T10:56:17.336399
ORD-00000095,17-01-2024,56:17.3,groundnut,Rajasthan,rabi,300.45,5736.97,1723654.63,C,processor,BUYER-00323,completed,pending,2024-01-17T10:56:17.336399
ORD-00000096,17-01-2024,56:17.3,groundnut,Rajasthan,rabi,404.62,4571.6,1849742.15,C,exporter,BUYER-00288,completed,partial,2024-01-17T10:56:17.336399
ORD-00000097,18-01-2024,56:17.3,groundnut,Madhya Pradesh,rabi,891.94,4638.53,4137308.18,B,retailer,BUYER-00155,delivered,partial,2024-01-18T10:56:17.336399
ORD-00000098,18-01-2024,56:17.3,sesame,Haryana,rabi,138.26,6153.97,850835.26,C,trader,BUYER-00104,delivered,partial,2024-01-18T10:56:17.336399
ORD-00000099,18-01-2024,56:17.3,sesame,Gujarat,rabi,327.29,6894.84,2256622.96,C,exporter,BUYER-00176,completed,partial,2024-01-18T10:56:17.336399
ORD-00000100,18-01-2024,56:17.3,mustard,Uttar Pradesh,rabi,549.73,4506.97,2477641.42,B,retailer,BUYER-00538,pending,pending,2024-01-18T10:56:17.336399
ORD-00000101,19-01-2024,56:17.3,sesame,Uttar Pradesh,rabi,136.86,6717.45,919368.63,C,retailer,BUYER-00828,delivered,pending,2024-01-19T10:56:17.336399
ORD-00000102,19-01-2024,56:17.3,soybean,Odisha,rabi,142.85,4502.05,643131.28,B,retailer,BUYER-00685,delivered,pending,2024-01-19T10:56:17.336399
ORD-00000103,19-01-2024,56:17.3,sunflower,Haryana,rabi,225.1,3310.87,745275.22,A,retailer,BUYER-00400,completed,paid,2024-01-19T10:56:17.336399
ORD-00000104,19-01-2024,56:17.3,mustard,Odisha,rabi,118.88,5356.73,636831.53,A,retailer,BUYER-00143,completed,pending,2024-01-19T10:56:17.336399
ORD-00000105,20-01-2024,56:17.3,mustard,Telangana,rabi,106.32,4912.72,522321.92,C,exporter,BUYER-00854,delivered,paid,2024-01-20T10:56:17.336399
ORD-00000106,20-01-2024,56:17.3,groundnut,Gujarat,rabi,370.63,4661.86,1727821.46,B,processor,BUYER-00190,pending,pending,2024-01-20T10:56:17.336399
ORD-00000107,20-01-2024,56:17.3,mustard,Maharashtra,rabi,372.2,4930.8,1835256.6,B,trader,BUYER-00342,delivered,pending,2024-01-20T10:56:17.336399
ORD-00000108,21-01-2024,56:17.3,sesame,Odisha,rabi,40.89,7129.07,291477,C,retailer,BUYER-00054,delivered,paid,2024-01-21T10:56:17.336399
ORD-00000109,21-01-2024,56:17.3,sunflower,Gujarat,rabi,473.99,3602.38,1707498.73,B,processor,BUYER-00264,delivered,pending,2024-01-21T10:56:17.336399
ORD-00000110,22-01-2024,56:17.3,mustard,Odisha,rabi,281.02,5469.96,1537175.01,A,exporter,BUYER-00103,completed,partial,2024-01-22T10:56:17.336399
ORD-00000111,22-01-2024,56:17.3,sesame,Maharashtra,rabi,103.44,5625.78,581904.96,B,processor,BUYER-00884,completed,partial,2024-01-22T10:56:17.336399
ORD-00000112,23-01-2024,56:17.3,mustard,Rajasthan,rabi,516.18,4997.9,2579830.61,B,retailer,BUYER-00820,completed,pending,2024-01-23T10:56:17.336399
ORD-00000113,23-01-2024,56:17.3,mustard,Telangana,rabi,189.62,5476.13,1038399.91,A,exporter,BUYER-00106,delivered,pending,2024-01-23T10:56:17.336399
ORD-00000114,23-01-2024,56:17.3,mustard,Andhra Pradesh,rabi,296.9,5225.07,1551334.36,B,trader,BUYER-00831,completed,pending,2024-01-23T10:56:17.336399
ORD-00000115,24-01-2024,56:17.3,soybean,Odisha,rabi,101,3930.92,397003.47,C,processor,BUYER-00741,delivered,paid,2024-01-24T10:56:17.336399
ORD-00000116,24-01-2024,56:17.3,soybean,Bihar,rabi,76.58,3934.18,301276.59,A,processor,BUYER-00127,completed,paid,2024-01-24T10:56:17.336399
ORD-00000117,24-01-2024,56:17.3,soybean,Punjab,rabi,287.65,4377.09,1259047.95,A,retailer,BUYER-00058,completed,pending,2024-01-24T10:56:17.336399
ORD-00000118,24-01-2024,56:17.3,soybean,Punjab,rabi,365.78,4422.18,1617552.97,A,exporter,BUYER-00096,pending,pending,2024-01-24T10:56:17.336399
ORD-00000119,25-01-2024,56:17.3,sunflower,Rajasthan,rabi,105.53,3438.47,362847.59,C,processor,BUYER-00237,completed,pending,2024-01-25T10:56:17.336399
ORD-00000120,25-01-2024,56:17.3,soybean,Punjab,rabi,139.37,5114.07,712739.7,A,trader,BUYER-00999,pending,partial,2024-01-25T10:56:17.336399
ORD-00000121,25-01-2024,56:17.3,mustard,Gujarat,rabi,553.12,4707.37,2603740.66,C,retailer,BUYER-00861,completed,partial,2024-01-25T10:56:17.336399
ORD-00000122,26-01-2024,56:17.3,groundnut,Madhya Pradesh,rabi,102.92,5303.02,545786.89,C,trader,BUYER-00435,pending,partial,2024-01-26T10:56:17.336399
ORD-00000123,26-01-2024,56:17.3,soybean,Punjab,rabi,309.7,3844.43,1190606.33,A,trader,BUYER-00974,pending,pending,2024-01-26T10:56:17.336399
ORD-00000124,26-01-2024,56:17.3,sunflower,Madhya Pradesh,rabi,113.95,3337.34,380304.31,C,trader,BUYER-00094,completed,pending,2024-01-26T10:56:17.336399
ORD-00000125,26-01-2024,56:17.3,mustard,Madhya Pradesh,rabi,835.12,5093.27,4253478.93,B,trader,BUYER-00204,pending,pending,2024-01-26T10:56:17.336399
ORD-00000126,27-01-2024,56:17.3,groundnut,Gujarat,rabi,885.41,5678.78,5028032.36,A,trader,BUYER-00612,pending,partial,2024-01-27T10:56:17.336399
ORD-00000127,27-01-2024,56:17.3,mustard,Uttar Pradesh,rabi,235.41,4704.75,1107549.75,B,trader,BUYER-00023,delivered,paid,2024-01-27T10:56:17.336399
ORD-00000128,27-01-2024,56:17.3,soybean,Andhra Pradesh,rabi,40.83,5106.35,208477.4,B,retailer,BUYER-00100,delivered,partial,2024-01-27T10:56:17.336399
ORD-00000129,28-01-2024,56:17.3,sesame,Bihar,rabi,120.53,5554.84,669522.74,B,trader,BUYER-00659,completed,pending,2024-01-28T10:56:17.336399
ORD-00000130,28-01-2024,56:17.3,sunflower,Rajasthan,rabi,395.27,4206.4,1662655.46,B,retailer,BUYER-00325,delivered,pending,2024-01-28T10:56:17.336399
ORD-00000131,28-01-2024,56:17.3,sunflower,Andhra Pradesh,rabi,353.49,3932.07,1389948.69,C,trader,BUYER-00336,pending,paid,2024-01-28T10:56:17.336399
ORD-00000132,29-01-2024,56:17.3,sesame,Karnataka,rabi,512.91,7216.04,3701151.14,A,retailer,BUYER-00160,pending,pending,2024-01-29T10:56:17.336399
ORD-00000133,29-01-2024,56:17.3,mustard,Haryana,rabi,953.78,4908.68,4681788.16,A,exporter,BUYER-00690,pending,partial,2024-01-29T10:56:17.336399
ORD-00000134,29-01-2024,56:17.3,mustard,Uttar Pradesh,rabi,680.1,4265.04,2900643.36,A,processor,BUYER-00957,delivered,paid,2024-01-29T10:56:17.336399
ORD-00000135,29-01-2024,56:17.3,mustard,Odisha,rabi,482.3,5435.71,2621647.88,A,trader,BUYER-00835,pending,partial,2024-01-29T10:56:17.336399
ORD-00000136,30-01-2024,56:17.3,sunflower,Uttar Pradesh,rabi,577.11,4262.1,2459712.15,C,trader,BUYER-00556,delivered,partial,2024-01-30T10:56:17.336399
ORD-00000137,30-01-2024,56:17.3,sesame,Telangana,rabi,140.36,5943.45,834215.52,B,exporter,BUYER-00302,delivered,pending,2024-01-30T10:56:17.336399
ORD-00000138,31-01-2024,56:17.3,sunflower,Karnataka,rabi,105.35,3934.81,414540.51,A,retailer,BUYER-00727,delivered,paid,2024-01-31T10:56:17.336399
ORD-00000139,31-01-2024,56:17.3,sesame,Odisha,rabi,75.31,6147,462918.65,A,retailer,BUYER-00922,completed,partial,2024-01-31T10:56:17.336399
ORD-00000140,31-01-2024,56:17.3,mustard,Andhra Pradesh,rabi,433.78,4570.5,1982586.65,C,trader,BUYER-00115,completed,paid,2024-01-31T10:56:17.336399
ORD-00000141,01-02-2024,56:17.3,sunflower,Karnataka,rabi,355.18,4019.9,1427793.99,B,retailer,BUYER-00626,delivered,paid,2024-02-01T10:56:17.336399
ORD-00000142,01-02-2024,56:17.3,sesame,Rajasthan,rabi,329.69,7236.07,2385689.28,B,processor,BUYER-00420,completed,partial,2024-02-01T10:56:17.336399
ORD-00000143,02-02-2024,56:17.3,sunflower,Odisha,rabi,545.74,3551.52,1938195.8,A,exporter,BUYER-00394,completed,paid,2024-02-02T10:56:17.336399
ORD-00000144,02-02-2024,56:17.3,sesame,Andhra Pradesh,rabi,205.68,6633.61,1364404.79,B,exporter,BUYER-00739,delivered,pending,2024-02-02T10:56:17.336399
ORD-00000145,03-02-2024,56:17.3,groundnut,Maharashtra,rabi,739.52,4619.2,3415991.99,B,exporter,BUYER-00999,completed,paid,2024-02-03T10:56:17.336399
ORD-00000146,03-02-2024,56:17.3,mustard,Uttar Pradesh,rabi,687.23,5328.65,3661998.88,A,processor,BUYER-00736,completed,paid,2024-02-03T10:56:17.336399
ORD-00000147,04-02-2024,56:17.3,sesame,Andhra Pradesh,rabi,161.46,6850.7,1106114.76,A,retailer,BUYER-00279,completed,partial,2024-02-04T10:56:17.336399
ORD-00000148,04-02-2024,56:17.3,mustard,Punjab,rabi,548.48,4228.5,2319239.87,C,retailer,BUYER-00273,pending,pending,2024-02-04T10:56:17.336399
ORD-00000149,05-02-2024,56:17.3,mustard,Uttar Pradesh,rabi,510.35,5270.1,2689589.44,B,exporter,BUYER-00342,delivered,partial,2024-02-05T10:56:17.336399
ORD-00000150,05-02-2024,56:17.3,sesame,Maharashtra,rabi,172.16,5719.97,984772.64,C,processor,BUYER-00612,completed,partial,2024-02-05T10:56:17.336399
ORD-00000151,06-02-2024,56:17.3,groundnut,Andhra Pradesh,rabi,521.46,4562.41,2379117.22,C,processor,BUYER-00455,completed,paid,2024-02-06T10:56:17.336399
ORD-00000152,06-02-2024,56:17.3,groundnut,Haryana,rabi,908.26,5475.76,4973410.09,A,retailer,BUYER-00564,completed,pending,2024-02-06T10:56:17.336399
ORD-00000153,07-02-2024,56:17.3,mustard,Odisha,rabi,295.79,4199.93,1242277.68,C,exporter,BUYER-00069,delivered,paid,2024-02-07T10:56:17.336399
ORD-00000154,07-02-2024,56:17.3,groundnut,Andhra Pradesh,rabi,207.42,4932.72,1023129.92,C,trader,BUYER-00891,pending,pending,2024-02-07T10:56:17.336399
ORD-00000155,07-02-2024,56:17.3,soybean,Bihar,rabi,83.94,5102.36,428287.58,A,trader,BUYER-00144,pending,partial,2024-02-07T10:56:17.336399
ORD-00000156,07-02-2024,56:17.3,groundnut,Gujarat,rabi,911.99,4562.28,4160747.69,A,retailer,BUYER-00042,pending,paid,2024-02-07T10:56:17.336399
ORD-00000157,08-02-2024,56:17.3,sunflower,Rajasthan,rabi,130.25,3856.46,502292.24,A,processor,BUYER-00133,completed,pending,2024-02-08T10:56:17.336399
ORD-00000158,08-02-2024,56:17.3,sesame,Odisha,rabi,233.58,6589.54,1539181.07,C,trader,BUYER-00843,delivered,paid,2024-02-08T10:56:17.336399
ORD-00000159,08-02-2024,56:17.3,mustard,Odisha,rabi,139.65,4285.91,598505.69,B,exporter,BUYER-00074,delivered,partial,2024-02-08T10:56:17.336399
